camis,restaurant_name,borough,cuisine_description,cutoff_date,history_depth_bucket,raw_logistic_probability,calibrated_high_severity_probability,priority_rank
50159939,LITTLE STORE,Queens,Chinese,2026-08-22,1,0.684317076045805,0.6593212095388251,81
50065192,XINYANG RESTAURANT,Queens,Chinese,2026-08-22,2-3,0.6836489404313496,0.6587248692011529,82
41664735,EL PASO,Queens,Latin American,2026-08-22,2-3,0.6831787115393032,0.6583052739885888,83
50150513,NO. 9 FRIED BUN/DELI,Brooklyn,Chinese,2026-08-22,1,0.6812555154274409,0.6565900591255153,84
50116306,DANNY'S GRILL,Queens,Barbecue,2026-08-22,2-3,0.6808099836373506,0.6561929122780203,85
50142441,HUANG KUNG FU,Queens,Chinese,2026-08-22,2-3,0.6791893376298036,0.6547489089024714,86
50152644,CHAR SIU BAO BAKERY,Queens,Chinese,2026-08-22,2-3,0.674865283161367,0.6509009928478168,87
50165061,TASTY BITES,Brooklyn,Bangladeshi,2026-08-22,1,0.6742176566053872,0.6503252753738892,88
41240624,NEW IVOIRE,Manhattan,African,2026-08-22,2-3,0.67402381491728,0.6501529866974317,89
50161454,TACO EXPRESS MEXICAN GRILL,Brooklyn,Mexican,2026-08-22,1,0.6728464347012836,0.6491068118049643,90
50114321,DEPT. OF CULTURE,Brooklyn,African,2026-08-22,1,0.6722957785964814,0.6486176923408098,91
50074456,LAHI,Queens,Filipino,2026-08-22,1,0.6719621967303521,0.6483214419280932,92
50159761,FIVE LOAVES AND TWO FISHES,Queens,Chinese,2026-08-22,1,0.6717809694059095,0.6481605126983326,93
50110934,DOUDOU KITCHEN,Queens,Chinese,2026-08-22,2-3,0.6714601456232485,0.6478756512095155,94
50155585,HIMALAYAN RESTAURANT & BAR,Queens,Asian/Asian Fusion,2026-08-22,1,0.670761567751368,0.6472555068820286,95
50147580,BLOSSOM’S SOUL FOOD FUSION,Brooklyn,Soul Food,2026-08-22,1,0.6705459762841022,0.6470641563291811,96
50163555,NAJU GOMTANG,Queens,Korean,2026-08-22,1,0.6697118294324144,0.6463239557703717,97
50142720,MR LUOS NOODLES,Queens,Chinese,2026-08-22,2-3,0.6686079363568754,0.6453447673867088,98
50155845,MALAYSIA BEEF JERKY INC,Manhattan,Asian/Asian Fusion,2026-08-22,1,0.6685562492288598,0.6452989297585767,99
50142553,SOUL FOOD STATION,Staten Island,Soul Food,2026-08-22,1,0.6648499611920046,0.6420145075000189,100
